trials,FirstRating_s1,GroupRating_s2,scaled_FirstRating_s1,scaled_GroupRating_s2,updated_beliefs,SecondRating_predicted
1,4,4,0.5,0.5,0.6224593312018546,5
2,5,5,0.6,0.6,0.7876687730795613,6
3,6,5,0.7,0.6,0.8523009542670559,6
4,4,6,0.5,0.7,0.7936875103245126,7
5,5,3,0.6,0.4,0.6224593312018546,3
6,3,6,0.4,0.7,0.7194697161336842,7
7,4,4,0.5,0.5,0.6224593312018546,6
8,4,5,0.5,0.6,0.7120712879653152,5
9,4,4,0.5,0.5,0.6224593312018546,6
10,7,4,0.8,0.5,0.868332438332133,6
11,5,2,0.6,0.3,0.5145377132183426,2
12,3,5,0.4,0.6,0.6224593312018546,6
13,6,3,0.7,0.4,0.7194697161336842,7
14,5,3,0.6,0.4,0.6224593312018546,4
15,3,6,0.4,0.7,0.7194697161336842,4
16,8,4,0.9,0.5,0.9368626738208133,8
17,4,3,0.5,0.4,0.523616137776949,6
18,3,5,0.4,0.6,0.6224593312018546,6
19,5,4,0.6,0.5,0.7120712879653152,6
20,7,6,0.8,0.7,0.938979984018195,8
21,2,1,0.3,0.2,0.1501286717418606,2
22,2,5,0.3,0.6,0.5145377132183426,5
23,3,4,0.4,0.5,0.523616137776949,5
24,6,4,0.7,0.5,0.7936875103245126,7
25,5,4,0.6,0.5,0.7120712879653152,5
26,5,4,0.6,0.5,0.7120712879653152,6
27,5,4,0.6,0.5,0.7120712879653152,7
28,4,5,0.5,0.6,0.7120712879653152,5
29,6,2,0.7,0.3,0.6224593312018545,5
30,4,6,0.5,0.7,0.7936875103245126,8
31,4,7,0.5,0.8,0.868332438332133,8
32,1,5,0.2,0.6,0.3820563283369978,4
33,5,7,0.6,0.8,0.9081922583949659,8
34,4,2,0.5,0.3,0.4140378359026323,4
35,5,4,0.6,0.5,0.7120712879653152,7
36,1,5,0.2,0.6,0.3820563283369978,2
37,5,5,0.6,0.6,0.7876687730795613,6
38,2,5,0.3,0.6,0.5145377132183426,4
39,5,4,0.6,0.5,0.7120712879653152,7
40,5,5,0.6,0.6,0.7876687730795613,8
41,4,5,0.5,0.6,0.7120712879653152,7
42,5,7,0.6,0.8,0.9081922583949659,7
43,3,7,0.4,0.8,0.8146978018023872,7
44,7,6,0.8,0.7,0.938979984018195,8
45,3,5,0.4,0.6,0.6224593312018546,5
46,3,6,0.4,0.7,0.7194697161336842,6
47,4,3,0.5,0.4,0.523616137776949,6
48,6,5,0.7,0.6,0.8523009542670559,6
49,5,4,0.6,0.5,0.7120712879653152,7
50,6,4,0.7,0.5,0.7936875103245126,7
51,4,3,0.5,0.4,0.523616137776949,5
52,7,3,0.8,0.4,0.8146978018023872,6
53,3,6,0.4,0.7,0.7194697161336842,7
54,3,4,0.4,0.5,0.523616137776949,3
55,3,6,0.4,0.7,0.7194697161336842,7
56,4,4,0.5,0.5,0.6224593312018546,3
57,5,4,0.6,0.5,0.7120712879653152,8
58,6,5,0.7,0.6,0.8523009542670559,5
59,3,5,0.4,0.6,0.6224593312018546,6
60,3,5,0.4,0.6,0.6224593312018546,6
61,7,3,0.8,0.4,0.8146978018023872,6
62,6,6,0.7,0.7,0.8997631539921656,8
63,4,5,0.5,0.6,0.7120712879653152,6
64,3,3,0.4,0.4,0.4228876998955231,4
65,6,5,0.7,0.6,0.8523009542670559,8
66,3,6,0.4,0.7,0.7194697161336842,6
67,5,5,0.6,0.6,0.7876687730795613,7
68,5,3,0.6,0.4,0.6224593312018546,6
69,5,6,0.6,0.7,0.8523009542670559,5
70,3,5,0.4,0.6,0.6224593312018546,4
71,7,6,0.8,0.7,0.938979984018195,8
72,2,4,0.3,0.5,0.4140378359026323,3
73,2,2,0.3,0.3,0.23243800256632288,4
74,2,3,0.3,0.4,0.32021956210419084,2
75,5,4,0.6,0.5,0.7120712879653152,6
76,5,4,0.6,0.5,0.7120712879653152,4
77,5,4,0.6,0.5,0.7120712879653152,5
78,3,4,0.4,0.5,0.523616137776949,3
79,6,4,0.7,0.5,0.7936875103245126,8
80,6,5,0.7,0.6,0.8523009542670559,6
81,3,7,0.4,0.8,0.8146978018023872,7
82,4,4,0.5,0.5,0.6224593312018546,6
83,7,5,0.8,0.6,0.9081922583949659,7
84,3,6,0.4,0.7,0.7194697161336842,7
85,4,5,0.5,0.6,0.7120712879653152,8
86,5,4,0.6,0.5,0.7120712879653152,5
87,4,5,0.5,0.6,0.7120712879653152,4
88,4,4,0.5,0.5,0.6224593312018546,6
89,4,5,0.5,0.6,0.7120712879653152,8
