trials,FirstRating_s1,GroupRating_s2,scaled_FirstRating_s1,scaled_GroupRating_s2,updated_beliefs,SecondRating_predicted
1,5,5,0.6,0.6,0.7203123754484894,5
2,5,7,0.6,0.8,0.8494987425173547,7
3,3,5,0.4,0.6,0.6687933358958236,7
4,3,5,0.4,0.6,0.6687933358958236,5
5,7,6,0.8,0.7,0.8311397633059141,5
6,4,3,0.5,0.4,0.5437944655840996,5
7,7,4,0.8,0.5,0.7142035799513907,8
8,3,5,0.4,0.6,0.6687933358958236,8
9,4,5,0.5,0.6,0.6951636237751325,7
10,5,6,0.6,0.7,0.7857470880115974,5
11,4,5,0.5,0.6,0.6951636237751325,8
12,4,6,0.5,0.7,0.7645588996591497,7
13,6,6,0.7,0.7,0.8072170499793324,5
14,4,4,0.5,0.5,0.6224593312018546,4
15,5,6,0.6,0.7,0.7857470880115974,8
16,5,4,0.6,0.5,0.6505913427303539,7
17,4,6,0.5,0.7,0.7645588996591497,5
18,5,7,0.6,0.8,0.8494987425173547,5
19,4,5,0.5,0.6,0.6951636237751325,6
20,3,2,0.4,0.3,0.425685139207487,7
21,3,5,0.4,0.6,0.6687933358958236,6
22,7,6,0.8,0.7,0.8311397633059141,7
23,4,2,0.5,0.3,0.45565723341666864,4
24,4,7,0.5,0.8,0.8332774336775604,6
25,3,5,0.4,0.6,0.6687933358958236,6
26,5,5,0.6,0.6,0.7203123754484894,7
27,6,4,0.7,0.5,0.6800908532991192,8
28,6,5,0.7,0.6,0.7462216535641336,6
29,5,5,0.6,0.6,0.7203123754484894,6
30,4,6,0.5,0.7,0.7645588996591497,8
31,4,8,0.5,0.9,0.9053194834890793,6
32,4,5,0.5,0.6,0.6951636237751325,5
33,7,7,0.8,0.8,0.8833891812125795,7
34,3,5,0.4,0.6,0.6687933358958236,4
35,3,6,0.4,0.7,0.7419634527258799,4
36,4,5,0.5,0.6,0.6951636237751325,5
37,5,6,0.6,0.7,0.7857470880115974,8
38,4,5,0.5,0.6,0.6951636237751325,5
39,3,4,0.4,0.5,0.5934776068658416,4
40,4,5,0.5,0.6,0.6951636237751325,5
41,2,4,0.3,0.5,0.5611450899155711,5
42,4,7,0.5,0.8,0.8332774336775604,6
43,5,5,0.6,0.6,0.7203123754484894,7
44,5,6,0.6,0.7,0.7857470880115974,3
45,5,7,0.6,0.8,0.8494987425173547,7
46,5,4,0.6,0.5,0.6505913427303539,4
47,6,4,0.7,0.5,0.6800908532991192,5
48,7,5,0.8,0.6,0.7756093365045214,8
49,3,5,0.4,0.6,0.6687933358958236,5
50,5,6,0.6,0.7,0.7857470880115974,8
51,3,6,0.4,0.7,0.7419634527258799,7
52,4,3,0.5,0.4,0.5437944655840996,4
53,5,5,0.6,0.6,0.7203123754484894,6
54,4,4,0.5,0.5,0.6224593312018546,5
55,3,5,0.4,0.6,0.6687933358958236,6
56,2,7,0.3,0.8,0.7949207820220895,6
57,4,3,0.5,0.4,0.5437944655840996,5
58,7,6,0.8,0.7,0.8311397633059141,7
59,4,6,0.5,0.7,0.7645588996591497,7
60,3,4,0.4,0.5,0.5934776068658416,3
61,4,6,0.5,0.7,0.7645588996591497,6
62,4,5,0.5,0.6,0.6951636237751325,6
63,4,6,0.5,0.7,0.7645588996591497,7
64,5,6,0.6,0.7,0.7857470880115974,8
65,3,4,0.4,0.5,0.5934776068658416,6
66,2,8,0.3,0.9,0.881173521771842,8
67,7,7,0.8,0.8,0.8833891812125795,7
68,4,4,0.5,0.5,0.6224593312018546,6
69,5,5,0.6,0.6,0.7203123754484894,7
70,5,6,0.6,0.7,0.7857470880115974,8
71,5,6,0.6,0.7,0.7857470880115974,5
72,4,6,0.5,0.7,0.7645588996591497,7
73,4,6,0.5,0.7,0.7645588996591497,6
74,7,5,0.8,0.6,0.7756093365045214,4
75,3,5,0.4,0.6,0.6687933358958236,6
76,5,5,0.6,0.6,0.7203123754484894,6
77,4,3,0.5,0.4,0.5437944655840996,5
78,4,4,0.5,0.5,0.6224593312018546,7
79,4,4,0.5,0.5,0.6224593312018546,6
80,3,3,0.4,0.4,0.5134938178426305,5
81,4,6,0.5,0.7,0.7645588996591497,5
82,7,3,0.8,0.4,0.6437129617198499,5
83,4,3,0.5,0.4,0.5437944655840996,4
84,3,7,0.4,0.8,0.8156870981538121,8
85,6,5,0.7,0.6,0.7462216535641336,7
86,6,4,0.7,0.5,0.6800908532991192,6
87,6,5,0.7,0.6,0.7462216535641336,3
88,4,6,0.5,0.7,0.7645588996591497,6
89,3,5,0.4,0.6,0.6687933358958236,7
90,6,2,0.7,0.3,0.5190785001980218,4
91,4,4,0.5,0.5,0.6224593312018546,7
92,6,5,0.7,0.6,0.7462216535641336,6
93,5,4,0.6,0.5,0.6505913427303539,5
94,5,4,0.6,0.5,0.6505913427303539,6
95,6,6,0.7,0.7,0.8072170499793324,8
96,5,4,0.6,0.5,0.6505913427303539,6
97,3,7,0.4,0.8,0.8156870981538121,6
98,5,7,0.6,0.8,0.8494987425173547,6
99,4,3,0.5,0.4,0.5437944655840996,6
100,5,3,0.6,0.4,0.5737743857667154,3
